asset1,asset2,correlation,abs_correlation,category1,category2,pair_type
DEM,EEMV,0.9031280973310066,0.9031280973310066,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
EEM,KEMX,0.8971609300489305,0.8971609300489305,EM_Broad,EM_Sector,EM-EM (HIGH PRIORITY)
DIA,SPY,0.8966671843918147,0.8966671843918147,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
IEF,LQD,0.8954183692338434,0.8954183692338434,Bonds,Bonds,Non-EM (LOW PRIORITY)
VEA,VT,0.894977711170961,0.894977711170961,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
GLTR,SLV,0.8949525059199068,0.8949525059199068,Commodities_Metals,Commodities_Metals,Non-EM (LOW PRIORITY)
DEM,EDIV,0.8942275867321374,0.8942275867321374,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
EWT,KEMX,0.8914146993456891,0.8914146993456891,EM_Country_ETFs,EM_Sector,EM-EM (HIGH PRIORITY)
DIA,XLF,0.8910415028142331,0.8910415028142331,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
OIH,XOP,0.891027715374484,0.891027715374484,Commodities_Energy,Commodities_Energy,Non-EM (LOW PRIORITY)
DIA,XLI,0.890075995683729,0.890075995683729,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
DIA,VT,0.8888803372286139,0.8888803372286139,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
VTI,XLI,0.8879206998182922,0.8879206998182922,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
VTI,XLY,0.8878712553886013,0.8878712553886013,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
EMQQ,SCHE,0.8823590264999088,0.8823590264999088,EM_Sector,EM_Broad,EM-EM (HIGH PRIORITY)
EDIV,EEMV,0.8822371234616349,0.8822371234616349,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
OIH,XLE,0.8807161052901132,0.8807161052901132,Commodities_Energy,Commodities_Energy,Non-EM (LOW PRIORITY)
VT,XLK,0.8799525719593564,0.8799525719593564,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
SPY,XLY,0.8797028994013032,0.8797028994013032,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
EFA,VT,0.8796033858085248,0.8796033858085248,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
EELV,EEMV,0.8792251328508092,0.8792251328508092,EM_Sector,EM_Broad,EM-EM (HIGH PRIORITY)
EMQQ,VWO,0.8790906440698447,0.8790906440698447,EM_Sector,EM_Broad,EM-EM (HIGH PRIORITY)
EMQQ,SPEM,0.8789210820600769,0.8789210820600769,EM_Sector,EM_Broad,EM-EM (HIGH PRIORITY)
VT,XLI,0.8763652647320259,0.8763652647320259,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
EEM,EMQQ,0.8734268861500849,0.8734268861500849,EM_Broad,EM_Sector,EM-EM (HIGH PRIORITY)
SPY,XLI,0.8697096524520772,0.8697096524520772,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
EMQQ,IEMG,0.8672637642580538,0.8672637642580538,EM_Sector,EM_Broad,EM-EM (HIGH PRIORITY)
EMB,LQD,0.8654183316290922,0.8654183316290922,Bonds,Bonds,Non-EM (LOW PRIORITY)
KEMX,SPEM,0.8642610120650659,0.8642610120650659,EM_Sector,EM_Broad,EM-EM (HIGH PRIORITY)
EMQQ,MCHI,0.8616499044430351,0.8616499044430351,EM_Sector,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
VT,XLY,0.8614627354643482,0.8614627354643482,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
KEMX,SCHE,0.8612168141424851,0.8612168141424851,EM_Sector,EM_Broad,EM-EM (HIGH PRIORITY)
EDIV,SPEM,0.8610085002531095,0.8610085002531095,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
IEF,SHY,0.8604035764861147,0.8604035764861147,Bonds,Bonds,Non-EM (LOW PRIORITY)
KEMX,VWO,0.8600179314051105,0.8600179314051105,EM_Sector,EM_Broad,EM-EM (HIGH PRIORITY)
EDIV,VWO,0.860000947346921,0.860000947346921,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
EMQQ,FXI,0.859264346660358,0.859264346660358,EM_Sector,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
EDIV,SCHE,0.8580991802236361,0.8580991802236361,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
EWH,FXI,0.8574596405829054,0.8574596405829054,EM_Country_ETFs,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
EWH,MCHI,0.8558977226882986,0.8558977226882986,EM_Country_ETFs,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
EDIV,IEMG,0.8556510400763471,0.8556510400763471,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
QQQ,XLY,0.853926294402857,0.853926294402857,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
DEM,KEMX,0.8532775104252869,0.8532775104252869,EM_Broad,EM_Sector,EM-EM (HIGH PRIORITY)
DEM,EELV,0.8518202399851537,0.8518202399851537,EM_Broad,EM_Sector,EM-EM (HIGH PRIORITY)
EMB,HYG,0.8516835542060691,0.8516835542060691,Bonds,Bonds,Non-EM (LOW PRIORITY)
IWM,XLI,0.8513278619431397,0.8513278619431397,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
EDIV,EEM,0.8506651243645219,0.8506651243645219,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
EWY,KEMX,0.8472896245271965,0.8472896245271965,EM_Country_ETFs,EM_Sector,EM-EM (HIGH PRIORITY)
EEMV,KEMX,0.846624412792189,0.846624412792189,EM_Broad,EM_Sector,EM-EM (HIGH PRIORITY)
FXB,UUP,-0.8456110362092347,0.8456110362092347,Currencies,Currencies,Non-EM (LOW PRIORITY)
IWM,VTI,0.8436601857603043,0.8436601857603043,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
EELV,IEMG,0.8431705472596382,0.8431705472596382,EM_Sector,EM_Broad,EM-EM (HIGH PRIORITY)
IWM,VT,0.8419458499175622,0.8419458499175622,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
EELV,KEMX,0.841475701691518,0.841475701691518,EM_Sector,EM_Sector,EM-EM (HIGH PRIORITY)
COPX,EPU,0.8405401840366827,0.8405401840366827,Commodities_Metals,EM_Country_ETFs,EM-Commodity (MEDIUM PRIORITY)
ASHR,MCHI,0.8383531403004841,0.8383531403004841,EM_Country_ETFs,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
GDXJ,GLTR,0.8380310724321333,0.8380310724321333,Commodities_Metals,Commodities_Metals,Non-EM (LOW PRIORITY)
EELV,EEM,0.8378702459065084,0.8378702459065084,EM_Sector,EM_Broad,EM-EM (HIGH PRIORITY)
EDIV,EELV,0.8367935343765475,0.8367935343765475,EM_Broad,EM_Sector,EM-EM (HIGH PRIORITY)
LQD,PCY,0.832470109629685,0.832470109629685,Bonds,Bonds,Non-EM (LOW PRIORITY)
KEMX,VT,0.8308560891290431,0.8308560891290431,EM_Sector,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
XLF,XLI,0.8306225315002636,0.8306225315002636,Developed_Sectors,Developed_Sectors,Non-EM (LOW PRIORITY)
MCHI,VWO,0.8305202258433197,0.8305202258433197,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
MCHI,SCHE,0.8304516675731329,0.8304516675731329,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
EWZ,ITUB,0.8299129777301415,0.8299129777301415,EM_Country_ETFs,Brazil_Stocks,EM-EM (HIGH PRIORITY)
FXI,SCHE,0.8298478119436006,0.8298478119436006,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
HYG,PCY,0.8297563114039116,0.8297563114039116,Bonds,Bonds,Non-EM (LOW PRIORITY)
JD,KWEB,0.8297021078635689,0.8297021078635689,China_Stocks,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
KEMX,VEA,0.8291658333620372,0.8291658333620372,EM_Sector,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
BABA,KWEB,0.8283554839948135,0.8283554839948135,China_Stocks,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
FXI,VWO,0.8282145042815888,0.8282145042815888,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
EWT,IEMG,0.8270812046615845,0.8270812046615845,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
IEMG,VEA,0.8261801228652306,0.8261801228652306,EM_Broad,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
MCHI,SPEM,0.82607889198042,0.82607889198042,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
DIA,IWM,0.8259020766674079,0.8259020766674079,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
XLB,XLI,0.8248773935178615,0.8248773935178615,Developed_Sectors,Developed_Sectors,Non-EM (LOW PRIORITY)
GDX,GLTR,0.824677936581624,0.824677936581624,Commodities_Metals,Commodities_Metals,Non-EM (LOW PRIORITY)
EELV,SPEM,0.824204947235325,0.824204947235325,EM_Sector,EM_Broad,EM-EM (HIGH PRIORITY)
EELV,VWO,0.8239524625559572,0.8239524625559572,EM_Sector,EM_Broad,EM-EM (HIGH PRIORITY)
FXI,SPEM,0.8227821197392903,0.8227821197392903,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
EEM,EWT,0.8215230919070957,0.8215230919070957,EM_Broad,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
EELV,SCHE,0.8212705142495283,0.8212705142495283,EM_Sector,EM_Broad,EM-EM (HIGH PRIORITY)
EEM,VEA,0.8186285499399991,0.8186285499399991,EM_Broad,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
EELV,VEA,0.8176476567765716,0.8176476567765716,EM_Sector,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
EWH,KWEB,0.8172835235534198,0.8172835235534198,EM_Country_ETFs,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
IEMG,VT,0.8107101245321706,0.8107101245321706,EM_Broad,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
VT,XLB,0.8106219707815182,0.8106219707815182,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
DIA,XLB,0.8080465234535166,0.8080465234535166,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
BABA,MCHI,0.8078353683885153,0.8078353683885153,China_Stocks,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
DIA,XLY,0.8062944917841021,0.8062944917841021,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
FXB,FXE,0.8061418883595448,0.8061418883595448,Currencies,Currencies,Non-EM (LOW PRIORITY)
DEM,VEA,0.805586424644789,0.805586424644789,EM_Broad,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
KWEB,SCHE,0.8055147734126026,0.8055147734126026,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
KB,SHG,0.8051879536529352,0.8051879536529352,Other_EM_Stocks,Other_EM_Stocks,EM-EM (HIGH PRIORITY)
GDX,GLD,0.8042951947379373,0.8042951947379373,Commodities_Metals,Commodities_Metals,Non-EM (LOW PRIORITY)
EEM,VT,0.803990532834722,0.803990532834722,EM_Broad,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
EEM,FXI,0.803479879442626,0.803479879442626,EM_Broad,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
KWEB,VWO,0.8034237014249559,0.8034237014249559,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
EFA,IEMG,0.8032687956247487,0.8032687956247487,Developed_Indices,EM_Broad,EM-Developed (MEDIUM PRIORITY)
IWM,SPY,0.8029489184228917,0.8029489184228917,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
DEM,PICK,0.8027349317902664,0.8027349317902664,EM_Broad,Commodities_Metals,EM-Commodity (MEDIUM PRIORITY)
VTI,XLF,0.8022707637998919,0.8022707637998919,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
SPEM,VEA,0.8020081380695823,0.8020081380695823,EM_Broad,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
BABA,FXI,0.8017239954364672,0.8017239954364672,China_Stocks,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
EEM,MCHI,0.8015454659071339,0.8015454659071339,EM_Broad,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
EPU,PICK,0.8015159451290342,0.8015159451290342,EM_Country_ETFs,Commodities_Metals,EM-Commodity (MEDIUM PRIORITY)
EFA,KEMX,0.8000259930977166,0.8000259930977166,Developed_Indices,EM_Sector,EM-Developed (MEDIUM PRIORITY)
VEA,VWO,0.7984686996350381,0.7984686996350381,Developed_Indices,EM_Broad,EM-Developed (MEDIUM PRIORITY)
KWEB,SPEM,0.798130001898309,0.798130001898309,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
EELV,EFA,0.7977555186087552,0.7977555186087552,EM_Sector,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
FXI,JD,0.797748030107435,0.797748030107435,EM_Country_ETFs,China_Stocks,EM-EM (HIGH PRIORITY)
EEM,EFA,0.7961543059565073,0.7961543059565073,EM_Broad,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
GDXJ,GLD,0.7959825379651135,0.7959825379651135,Commodities_Metals,Commodities_Metals,Non-EM (LOW PRIORITY)
EWT,SCHE,0.7957473204818516,0.7957473204818516,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
BIDU,KWEB,0.7949384190763952,0.7949384190763952,China_Stocks,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
SCHE,VEA,0.7945264602895922,0.7945264602895922,EM_Broad,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
EWT,SPEM,0.7942866124432792,0.7942866124432792,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
HYG,VT,0.7936199185122172,0.7936199185122172,Bonds,Developed_Indices,Non-EM (LOW PRIORITY)
EWT,VWO,0.7936055390693422,0.7936055390693422,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
IEMG,PICK,0.7935923004163487,0.7935923004163487,EM_Broad,Commodities_Metals,EM-Commodity (MEDIUM PRIORITY)
EEMV,VEA,0.7931451963238622,0.7931451963238622,EM_Broad,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
EEM,PICK,0.7912954970405561,0.7912954970405561,EM_Broad,Commodities_Metals,EM-Commodity (MEDIUM PRIORITY)
PICK,SPEM,0.7911227045819148,0.7911227045819148,Commodities_Metals,EM_Broad,EM-Commodity (MEDIUM PRIORITY)
ASHR,FXI,0.7906139664676187,0.7906139664676187,EM_Country_ETFs,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
EWY,IEMG,0.7902629222760493,0.7902629222760493,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
FXI,IEMG,0.7890390102753047,0.7890390102753047,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
PICK,VWO,0.7886045969935561,0.7886045969935561,Commodities_Metals,EM_Broad,EM-Commodity (MEDIUM PRIORITY)
JD,MCHI,0.7882267542275757,0.7882267542275757,China_Stocks,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
PICK,SCHE,0.7879227272415124,0.7879227272415124,Commodities_Metals,EM_Broad,EM-Commodity (MEDIUM PRIORITY)
DEM,EFA,0.7865606178685545,0.7865606178685545,EM_Broad,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
IEMG,MCHI,0.7863922720567578,0.7863922720567578,EM_Broad,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
EWS,VEA,0.7863199924007377,0.7863199924007377,EM_Country_ETFs,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
BILI,KWEB,0.7862331105589405,0.7862331105589405,China_Stocks,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
SPY,XLF,0.7859832022116625,0.7859832022116625,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
EEM,EWY,0.7855337841635593,0.7855337841635593,EM_Broad,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
IWM,XLB,0.7854477723753993,0.7854477723753993,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
SPEM,VT,0.78470431953007,0.78470431953007,EM_Broad,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
VEA,VTI,0.7843530080187497,0.7843530080187497,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
EFA,SPEM,0.7836302930110808,0.7836302930110808,Developed_Indices,EM_Broad,EM-Developed (MEDIUM PRIORITY)
EDIV,KEMX,0.7806521351238528,0.7806521351238528,EM_Broad,EM_Sector,EM-EM (HIGH PRIORITY)
VT,VWO,0.7805565400301548,0.7805565400301548,Developed_Indices,EM_Broad,EM-Developed (MEDIUM PRIORITY)
EFA,VWO,0.7803860715035555,0.7803860715035555,Developed_Indices,EM_Broad,EM-Developed (MEDIUM PRIORITY)
PICK,VEA,0.7799086088146976,0.7799086088146976,Commodities_Metals,Developed_Indices,Non-EM (LOW PRIORITY)
EEM,KWEB,0.7786734914577063,0.7786734914577063,EM_Broad,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
SCHE,VT,0.7785850292068649,0.7785850292068649,EM_Broad,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
EWT,VT,0.7785656301467332,0.7785656301467332,EM_Country_ETFs,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
EWT,TSM,0.7780441234223001,0.7780441234223001,EM_Country_ETFs,Taiwan_Stocks,EM-EM (HIGH PRIORITY)
IWM,XLY,0.777842718696657,0.777842718696657,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
VTI,XLB,0.7778300705117563,0.7778300705117563,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
VT,XLF,0.7774701974070654,0.7774701974070654,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
EFA,EWS,0.7767450449647364,0.7767450449647364,Developed_Indices,EM_Country_ETFs,EM-Developed (MEDIUM PRIORITY)
XLI,XLY,0.7762728127300169,0.7762728127300169,Developed_Sectors,Developed_Sectors,Non-EM (LOW PRIORITY)
EFA,SCHE,0.7760427449351281,0.7760427449351281,Developed_Indices,EM_Broad,EM-Developed (MEDIUM PRIORITY)
DIA,QQQ,0.7750591757298061,0.7750591757298061,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
PICK,VALE,0.7744146503555409,0.7744146503555409,Commodities_Metals,Brazil_Stocks,EM-Commodity (MEDIUM PRIORITY)
HYG,VTI,0.773854064434475,0.773854064434475,Bonds,Developed_Indices,Non-EM (LOW PRIORITY)
EEMV,EFA,0.7730318547980806,0.7730318547980806,EM_Broad,Developed_Indices,EM-Developed (MEDIUM PRIORITY)
DEM,EWT,0.771946603651898,0.771946603651898,EM_Broad,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
SPY,VEA,0.7716337396302904,0.7716337396302904,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
BABA,EMQQ,0.7712987795695087,0.7712987795695087,China_Stocks,EM_Sector,EM-EM (HIGH PRIORITY)
XLK,XLY,0.769082112652038,0.769082112652038,Developed_Sectors,Developed_Sectors,Non-EM (LOW PRIORITY)
ASX,EWT,0.7688894192015895,0.7688894192015895,Taiwan_Stocks,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
GDXJ,SLV,0.7688774308548568,0.7688774308548568,Commodities_Metals,Commodities_Metals,Non-EM (LOW PRIORITY)
EMQQ,EWH,0.7684193047537993,0.7684193047537993,EM_Sector,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
IWM,XLF,0.7678770467863183,0.7678770467863183,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
EFA,VTI,0.7672574296356991,0.7672574296356991,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
EWH,VWO,0.7669157561805432,0.7669157561805432,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
IEMG,KWEB,0.7648251412307187,0.7648251412307187,EM_Broad,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
EWH,SCHE,0.7644358364617447,0.7644358364617447,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
EWH,SPEM,0.7635391727866377,0.7635391727866377,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
QQQ,XLI,0.7629632627805621,0.7629632627805621,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
EZA,IEMG,0.7625073272905942,0.7625073272905942,EM_Country_ETFs,EM_Broad,EM-EM (HIGH PRIORITY)
VEA,XLB,0.7602691477101805,0.7602691477101805,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
HYG,IWM,0.7600387078381482,0.7600387078381482,Bonds,Developed_Indices,Non-EM (LOW PRIORITY)
SPY,XLB,0.7599709155374581,0.7599709155374581,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
EEM,EZA,0.7593604039734438,0.7593604039734438,EM_Broad,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
EFA,PICK,0.7592757117305955,0.7592757117305955,Developed_Indices,Commodities_Metals,Non-EM (LOW PRIORITY)
HYG,SPY,0.7578207626772222,0.7578207626772222,Bonds,Developed_Indices,Non-EM (LOW PRIORITY)
EFA,SPY,0.7562221407134178,0.7562221407134178,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
